Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Relative Humidity [%](TimeStep),Environment:Site Wind Speed [m/s](TimeStep),Environment:Site Wind Direction [deg](TimeStep),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Direct Solar Radiation Rate per Area [W/m2](TimeStep),EMS:Building Mean Temperature [C](TimeStep),EMS:Building Mean PPD [%](TimeStep),EMS:Building Total Occupants [%](TimeStep),EMS:Occupancy Flag [](TimeStep),EMS:Indoor Air Temperature Setpoint [](TimeStep),SPACE1-1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),SPACE1-1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),Whole Building:Facility Total HVAC Electric Demand Power [W](TimeStep),MAIN HEATING COIL 1:Heating Coil Electric Power [W](TimeStep),OUTSIDE AIR INLET NODE 1:System Node Temperature [C](TimeStep),OUTSIDE AIR INLET NODE 1:System Node Mass Flow Rate [kg/s](TimeStep),SPACE1-1 IN NODE:System Node Temperature [C](TimeStep),SPACE1-1 IN NODE:System Node Mass Flow Rate [kg/s](TimeStep),SPACE2-1 IN NODE:System Node Temperature [C](TimeStep),SPACE2-1 IN NODE:System Node Mass Flow Rate [kg/s](TimeStep),SPACE3-1 IN NODE:System Node Temperature [C](TimeStep),SPACE3-1 IN NODE:System Node Mass Flow Rate [kg/s](TimeStep),SPACE4-1 IN NODE:System Node Temperature [C](TimeStep),SPACE4-1 IN NODE:System Node Mass Flow Rate [kg/s](TimeStep),SPACE5-1 IN NODE:System Node Temperature [C](TimeStep),SPACE5-1 IN NODE:System Node Mass Flow Rate [kg/s](TimeStep),VAV SYS 1 OUTLET NODE:System Node Temperature [C](TimeStep),VAV SYS 1 OUTLET NODE:System Node Mass Flow Rate [kg/s](TimeStep),MIXED AIR NODE 1:System Node Temperature [C](TimeStep),MIXED AIR NODE 1:System Node Mass Flow Rate [kg/s](TimeStep),VAV SYS 1 INLET NODE:System Node Temperature [C](TimeStep),VAV SYS 1 INLET NODE:System Node Mass Flow Rate [kg/s](TimeStep) 
 01/01  00:15:00,-4.324999999999999,72.25,2.6,210.0,0.0,0.0,12.766292812696431,0.0,0.0,0.0,12.8,12.8,40.0,3889.515591278516,1994.0440456570858,-4.324999999999999,0.2769311893313138,11.656640314672109,0.35352498872576279,11.656640314672109,0.15235871715606565,11.656640314672109,0.3439702593007421,11.656640314672109,0.15235871715606567,11.656640314672109,0.6506129002880642,11.656640314672109,1.6528255826267,10.108089379167924,1.6528255826267,13.008291477836944,1.6528255826267003 
 01/01  00:30:00,-6.949999999999999,72.5,2.6,230.0,0.0,0.0,12.672570670425506,99.20226795878037,0.0,0.0,12.8,12.8,40.0,7659.747572689236,5239.276027067805,-6.949999999999999,0.2769311893313138,13.044968859635919,0.35352498872576279,13.044968859635919,0.15235871715606565,13.044968859635919,0.3439702593007421,13.044968859635919,0.15235871715606567,13.044968859635919,0.6506129002880642,13.044968859635919,1.6528255826267,9.590420069357844,1.6528255826267,12.91184524816247,1.6528255826267003 
 01/01  00:45:00,-9.575,72.75,2.6,250.0,0.0,0.0,12.790035074329119,99.30007020258879,0.0,0.0,12.8,12.8,40.0,9033.571741663474,6088.100196042044,-9.575,0.2769311893313138,13.01968980647957,0.35352498872576279,13.01968980647957,0.15235871715606565,13.01968980647957,0.3439702593007421,13.01968980647957,0.15235871715606567,13.01968980647957,0.6506129002880642,13.01968980647957,1.6528255826267,9.066008521419973,1.6528255826267,12.80738070049493,1.6528255826267003 
 01/01  01:00:00,-12.2,73.0,2.6,270.0,0.0,0.0,12.818304612499901,99.22632951155751,0.0,0.0,12.8,12.8,40.0,11224.986146883763,7754.514601262331,-12.2,0.2769311893313138,13.541007061840359,0.35352498872576279,13.541007061840359,0.15235871715606565,13.541007061840359,0.3439702593007421,13.541007061840359,0.15235871715606567,13.541007061840359,0.6506129002880642,13.541007061840359,1.6528255826267,8.607625119704153,1.6528255826267,12.782438435938694,1.6528255826267003 
 01/01  01:15:00,-12.075,73.0,2.6,265.0,0.0,0.0,12.831163665758055,99.1929373839811,0.0,0.0,12.8,12.8,40.0,11244.881463135023,7799.4099175135929,-12.075,0.2769311893313138,13.575259807909799,0.35352498872576279,13.575259807909799,0.15235871715606565,13.575259807909799,0.3439702593007421,13.575259807909799,0.15235871715606567,13.575259807909799,0.6506129002880642,13.575259807909799,1.6528255826267,8.614843881462117,1.6528255826267,12.766788631084236,1.6528255826267003 
 01/01  01:30:00,-11.95,73.0,2.6,260.0,0.0,0.0,12.842111671756527,99.14573526242913,0.0,0.0,12.8,12.8,40.0,11244.255675885965,7823.784130264535,-11.95,0.2769311893313138,13.592349052189372,0.35352498872576279,13.592349052189372,0.15235871715606565,13.592349052189372,0.3439702593007421,13.592349052189372,0.15235871715606567,13.592349052189372,0.6506129002880642,13.592349052189372,1.6528255826267,8.616892377244337,1.6528255826267,12.74498122636225,1.6528255826267003 
 01/01  01:45:00,-11.825,73.0,2.6,255.0,0.0,0.0,12.847301551484766,99.12338280662574,0.0,0.0,12.8,12.8,40.0,11285.639555652577,7890.168010031146,-11.825,0.2769311893313138,13.624737080591935,0.35352498872576279,13.624737080591935,0.15235871715606565,13.624737080591935,0.3439702593007421,13.624737080591935,0.15235871715606567,13.624737080591935,0.6506129002880642,13.624737080591935,1.6528255826267,8.609580895305749,1.6528255826267,12.7118920088398,1.6528255826267003 
 01/01  02:00:00,-11.7,73.0,2.6,250.0,0.0,0.0,12.848938949182636,99.1220702731699,0.0,0.0,12.8,12.8,40.0,11342.914079015996,7972.4425333945659,-11.7,0.2769311893313138,13.656816585112626,0.35352498872576279,13.656816585112626,0.15235871715606565,13.656816585112626,0.3439702593007421,13.656816585112626,0.15235871715606567,13.656816585112626,0.6506129002880642,13.656816585112626,1.6528255826267,8.59268041073974,1.6528255826267,12.667211265795404,1.6528255826267003 
 01/01  02:15:00,-11.549999999999999,73.0,2.475,247.5,0.0,0.0,12.849411099343126,99.12759453092099,0.0,0.0,12.8,12.8,40.0,11370.585234964818,8030.113689343387,-11.549999999999999,0.2769311893313138,13.673075599183952,0.35352498872576279,13.673075599183952,0.15235871715606565,13.673075599183952,0.3439702593007421,13.673075599183952,0.15235871715606567,13.673075599183952,0.6506129002880642,13.673075599183952,1.6528255826267,8.574465175321708,1.6528255826267,12.615895758774224,1.6528255826267003 
 01/01  02:30:00,-11.399999999999999,73.0,2.35,245.0,0.0,0.0,12.849574643176562,99.13479802492745,0.0,0.0,12.8,12.8,40.0,11089.303362539538,7778.831816918109,-11.399999999999999,0.2769311893313138,13.506283247637317,0.35352498872576279,13.506283247637317,0.15235871715606565,13.506283247637317,0.3439702593007421,13.506283247637317,0.15235871715606567,13.506283247637317,0.6506129002880642,13.506283247637317,1.6528255826267,8.554859933021726,1.6528255826267,12.562869116106724,1.6528255826267003 
 01/01  02:45:00,-11.25,73.0,2.225,242.5,0.0,0.0,12.821252231224245,99.14265457083798,0.0,0.0,12.8,12.8,40.0,11270.98307608768,7990.5115304662499,-11.25,0.2769311893313138,13.612464492319563,0.35352498872576279,13.612464492319563,0.15235871715606565,13.612464492319563,0.3439702593007421,13.612464492319563,0.15235871715606567,13.612464492319563,0.6506129002880642,13.612464492319563,1.6528255826267,8.53609184783469,1.6528255826267,12.51080304004047,1.6528255826267003 
 01/01  03:00:00,-11.1,73.0,2.1,240.0,0.0,0.0,12.817533193503277,99.17266382092905,0.0,0.0,12.8,12.8,40.0,11268.93147342251,8018.459927801079,-11.1,0.2769311893313138,13.60426757936142,0.35352498872576279,13.60426757936142,0.15235871715606565,13.60426757936142,0.3439702593007421,13.60426757936142,0.15235871715606567,13.60426757936142,0.6506129002880642,13.60426757936142,1.6528255826267,8.51099957308981,1.6528255826267,12.451095556221784,1.6528255826267003 
 01/01  03:15:00,-11.1,73.0,2.225,237.5,0.0,0.0,12.817626091764442,99.18576640391744,0.0,0.0,12.8,12.8,40.0,11436.462021303616,8185.990475682185,-11.1,0.2769311893313138,13.65929747608708,0.35352498872576279,13.65929747608708,0.15235871715606565,13.65929747608708,0.3439702593007421,13.65929747608708,0.15235871715606567,13.65929747608708,0.6506129002880642,13.65929747608708,1.6528255826267,8.46706128497355,1.6528255826267,12.398745724600039,1.6528255826267003 
 01/01  03:30:00,-11.1,73.0,2.35,235.0,0.0,0.0,12.818140991878654,99.19611542341412,0.0,0.0,12.8,12.8,40.0,11578.71695829046,8328.24541266903,-11.1,0.2769311893313138,13.705821792330252,0.35352498872576279,13.705821792330252,0.15235871715606565,13.705821792330252,0.3439702593007421,13.705821792330252,0.15235871715606567,13.705821792330252,0.6506129002880642,13.705821792330252,1.6528255826267,8.429499242075968,1.6528255826267,12.354021132050754,1.6528255826267003 
 01/01  03:45:00,-11.1,73.0,2.475,232.5,0.0,0.0,12.81874876423405,99.20421338526441,0.0,0.0,12.8,12.8,40.0,11702.85044115931,8452.37889553788,-11.1,0.2769311893313138,13.74640840318962,0.35352498872576279,13.74640840318962,0.15235871715606565,13.74640840318962,0.3439702593007421,13.74640840318962,0.15235871715606567,13.74640840318962,0.6506129002880642,13.74640840318962,1.6528255826267,8.396670236014535,1.6528255826267,12.31495641691691,1.6528255826267003 
 01/01  04:00:00,-11.1,73.0,2.6,230.0,0.0,0.0,12.819379599357367,99.21081198696628,0.0,0.0,12.8,12.8,40.0,11809.359255774649,8558.887710153218,-11.1,0.2769311893313138,13.780755149491757,0.35352498872576279,13.780755149491757,0.15235871715606565,13.780755149491757,0.3439702593007421,13.780755149491757,0.15235871715606567,13.780755149491757,0.6506129002880642,13.780755149491757,1.6528255826267,8.367978593327468,1.6528255826267,12.280840747768466,1.6528255826267003 
 01/01  04:15:00,-10.975,73.0,2.6,232.5,0.0,0.0,12.819948862192807,99.21644734428297,0.0,0.0,12.8,12.8,40.0,11803.054874725776,8577.583329104345,-10.975,0.2769311893313138,13.788121338043013,0.35352498872576279,13.788121338043013,0.15235871715606565,13.788121338043013,0.3439702593007421,13.788121338043013,0.15235871715606567,13.788121338043013,0.6506129002880642,13.788121338043013,1.6528255826267,8.363994939073397,1.6528255826267,12.251341179542667,1.6528255826267003 
 01/01  04:30:00,-10.85,73.0,2.6,235.0,0.0,0.0,12.820539286275448,99.22105665018482,0.0,0.0,12.8,12.8,40.0,11779.40304367677,8578.931498055339,-10.85,0.2769311893313138,13.788403793002303,0.35352498872576279,13.788403793002303,0.15235871715606565,13.788403793002303,0.3439702593007421,13.788403793002303,0.15235871715606567,13.788403793002303,0.6506129002880642,13.788403793002303,1.6528255826267,8.363153055810324,1.6528255826267,12.22559200097356,1.6528255826267003 
 01/01  04:45:00,-10.725,73.0,2.6,237.5,0.0,0.0,12.820992733364879,99.22591104506467,0.0,0.0,12.8,12.8,40.0,11745.015128670337,8569.543583048906,-10.725,0.2769311893313138,13.784847272101862,0.35352498872576279,13.784847272101862,0.15235871715606565,13.784847272101862,0.3439702593007421,13.784847272101862,0.15235871715606567,13.784847272101862,0.6506129002880642,13.784847272101862,1.6528255826267,8.364813785498623,1.6528255826267,12.2028229100344,1.6528255826267003 
 01/01  05:00:00,-10.6,73.0,2.6,240.0,0.0,0.0,12.821256304880626,99.23118565717948,0.0,0.0,12.8,12.8,40.0,11702.202101714942,8551.730556093511,-10.6,0.2769311893313138,13.778424148453361,0.35352498872576279,13.778424148453361,0.15235871715606565,13.778424148453361,0.3439702593007421,13.778424148453361,0.15235871715606567,13.778424148453361,0.6506129002880642,13.778424148453361,1.6528255826267,8.36859201782587,1.6528255826267,12.18257092546883,1.6528255826267003 
 01/01  05:15:00,-10.6,73.0,2.6,232.5,0.0,0.0,12.82137563639353,99.23659210023446,0.0,0.0,12.8,12.8,40.0,11734.404488235989,8583.93294261456,-10.6,0.2769311893313138,13.782548982345466,0.35352498872576279,13.782548982345466,0.15235871715606565,13.782548982345466,0.3439702593007421,13.782548982345466,0.15235871715606567,13.782548982345466,0.6506129002880642,13.782548982345466,1.6528255826267,8.353494829059061,1.6528255826267,12.164670925468549,1.6528255826267003 
 01/01  05:30:00,-10.6,73.0,2.6,225.0,0.0,0.0,12.821316354327707,99.2426193972769,0.0,0.0,12.8,12.8,40.0,11763.074349972028,8612.602804350598,-10.6,0.2769311893313138,13.786187783955527,0.35352498872576279,13.786187783955527,0.15235871715606565,13.786187783955527,0.3439702593007421,13.786187783955527,0.15235871715606567,13.786187783955527,0.6506129002880642,13.786187783955527,1.6528255826267,8.340010215907354,1.6528255826267,12.148688936691578,1.6528255826267003 
 01/01  05:45:00,-10.6,73.0,2.6,217.5,0.0,0.0,12.821226759178483,99.24785565967042,0.0,0.0,12.8,12.8,40.0,11787.958617758739,8637.487072137308,-10.6,0.2769311893313138,13.789935362334852,0.35352498872576279,13.789935362334852,0.15235871715606565,13.789935362334852,0.3439702593007421,13.789935362334852,0.15235871715606567,13.789935362334852,0.6506129002880642,13.789935362334852,1.6528255826267,8.328876491014908,1.6528255826267,12.135516784414023,1.6528255826267003 
 01/01  06:00:00,-10.6,73.0,2.6,210.0,0.0,0.0,12.821182616819499,99.25238433911004,0.0,0.0,12.8,12.8,40.0,11808.70340020454,8658.23185458311,-10.6,0.2769311893313138,13.79317311467312,0.35352498872576279,13.79317311467312,0.15235871715606565,13.79317311467312,0.3439702593007421,13.79317311467312,0.15235871715606567,13.79317311467312,0.6506129002880642,13.79317311467312,1.6528255826267,8.31968029083295,1.6528255826267,12.124660934685368,1.6528255826267003 
